Longitude,Latitude,Elevation
74,28,-1
74,28,-1
74,28,-1
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,0
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,1
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,2
74,28,3
74,28,3
74,28,3
74,28,3
74,28,3
74,28,3
74,28,3
74,28,3
74,28,3
74,28,3
74,28,3
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,4
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,5
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,6
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,7
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,8
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,9
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,10
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,11
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,12
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,13
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,14
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
74,28,15
