Longitude,Latitude,Elevation
119,34,40
90,38,186
110,32,773
75,39,23
75,40,72
87,36,135
90,38,148
82,27,12
90,38,159
86,36,149
82,28,26
82,27,18
86,39,236
82,27,16
82,27,9
75,39,14
110,32,722
90,29,6
90,29,3
75,39,11
113,53,662
86,39,225
86,39,248
119,39,1364
86,36,151
74,40,89
119,34,23
86,36,129
75,39,13
86,36,267
116,43,822
75,40,16
75,40,158
75,40,113
90,29,21
75,39,3
75,40,94
75,39,120
89,38,173
119,39,1347
86,39,223
90,38,138
75,39,17
75,40,87
75,39,77
110,32,752
86,36,155
90,38,167
75,40,51
82,27,8
86,39,266
113,53,665
113,53,661
82,28,20
75,39,127
75,40,64
82,28,18
90,29,0
82,27,11
75,39,141
90,29,7
116,43,777
110,32,746
86,39,262
82,28,12
119,39,1393
86,36,174
75,39,60
74,39,45
75,39,30
75,39,10
113,53,672
110,32,761
82,28,23
86,39,249
86,39,244
75,39,36
74,40,29
75,40,40
119,34,4
89,38,169
90,29,28
75,39,6
86,36,148
119,34,10
86,39,250
74,40,21
90,38,162
90,29,8
119,39,1356
116,43,799
90,38,161
74,40,19
86,39,229
89,38,176
90,29,15
75,39,27
110,32,849
82,27,4
75,40,46
75,40,78
75,40,92
90,38,196
74,39,50
90,38,163
116,43,801
82,28,6
75,39,7
75,40,73
90,30,2
86,36,165
86,36,216
86,39,235
110,32,793
111,32,735
90,30,3
75,39,20
75,39,26
90,29,11
110,32,778
86,39,272
82,28,28
110,32,705
86,36,157
119,34,0
75,39,15
74,40,34
86,39,230
119,39,1344
82,27,20
119,39,1362
75,39,18
86,39,220
82,27,7
116,43,826
75,39,45
75,39,99
86,36,153
75,40,82
74,39,9
86,36,162
86,36,146
90,38,132
74,40,45
119,39,1377
86,39,222
119,34,30
113,53,682
119,39,1352
74,40,14
86,39,226
75,39,31
75,39,16
75,39,56
90,38,158
82,27,13
82,27,10
113,53,674
82,28,31
90,29,4
75,39,12
75,40,81
75,40,104
75,39,90
110,32,739
116,43,819
82,28,19
75,40,32
74,40,54
111,32,736
75,40,36
113,53,663
119,39,1389
86,39,253
90,38,151
110,32,789
86,39,232
75,40,91
86,36,135
86,39,218
82,27,17
74,40,56
75,39,38
90,38,144
74,39,36
86,39,224
82,28,11
82,28,22
90,38,130
119,39,1370
119,34,50
86,39,260
90,38,202
75,40,128
86,36,224
110,32,758
111,32,710
119,39,1367
110,32,818
82,28,24
86,35,236
111,32,692
82,27,32
75,40,96
86,39,245
75,40,112
116,43,792
119,39,1372
110,32,762
75,40,65
82,28,7
113,53,685
110,32,741
86,36,183
75,39,67
75,39,34
110,32,785
86,36,142
86,39,267
75,39,51
90,29,13
75,40,108
75,40,103
82,28,27
86,36,139
75,40,71
113,53,708
111,32,651
119,39,1930
75,39,1
75,39,94
90,38,147
75,39,25
110,32,843
75,39,174
74,40,25
86,35,196
75,39,44
75,40,47
74,40,48
110,32,749
86,35,206
90,30,1
110,32,732
110,32,765
90,29,19
111,32,822
82,27,6
75,40,143
89,29,4
86,39,219
90,29,5
110,32,711
86,35,185
75,39,29
82,27,14
82,28,16
110,32,731
86,39,274
90,29,44
75,39,4
75,40,101
82,27,19
74,39,16
116,43,818
113,53,681
110,32,743
75,40,83
110,32,719
86,39,255
90,38,145
113,53,680
90,38,156
110,32,797
74,39,39
82,28,5
86,36,132
75,40,140
119,39,1503
75,40,98
82,28,10
90,38,170
74,40,9
86,39,256
90,38,190
119,34,16
86,39,227
90,30,4
119,39,1401
82,28,21
75,40,75
75,40,63
82,27,15
75,39,49
82,28,32
86,36,126
82,27,26
75,39,69
75,39,24
82,27,5
113,53,671
110,32,742
75,40,86
90,38,176
82,28,33
119,34,59
82,27,0
75,40,126
75,39,70
90,38,168
90,30,0
75,40,144
74,40,42
75,39,5
90,38,131
82,28,14
86,39,271
119,39,1481
110,32,753
82,27,21
74,40,37
86,39,233
75,40,30
116,43,829
119,34,18
90,38,139
90,29,2
110,32,760
86,39,221
87,36,218
75,39,93
75,39,42
75,40,146
86,36,178
119,39,1522
75,40,122
110,32,782
90,29,1
75,40,52
75,40,93
119,39,1369
113,53,684
111,32,685
75,40,55
75,39,52
74,39,20
86,35,200
82,27,23
87,36,162
74,40,51
110,32,736
75,39,9
75,40,45
75,40,169
85,39,255
116,43,828
119,39,1359
119,39,1376
113,53,670
119,34,26
119,39,1366
119,39,1549
90,38,157
75,40,37
74,39,29
110,32,704
90,38,177
119,34,19
82,27,22
90,30,5
75,39,22
110,32,938
86,39,254
86,35,229
86,39,247
75,40,8
86,36,184
116,43,796
86,36,160
86,36,168
89,29,5
86,39,228
90,30,1
90,38,206
75,40,58
90,38,171
82,27,30
119,34,28
119,34,14
75,39,19
119,39,1538
90,38,181
75,39,37
82,27,1
74,40,55
90,38,155
75,40,89
119,34,7
86,39,212
75,39,87
86,36,150
75,40,74
82,28,25
75,39,133
82,28,45
116,43,798
110,32,920
82,28,15
75,39,63
113,53,667
75,40,161
116,43,825
86,36,170
86,36,179
110,32,811
82,27,29
74,40,33
89,38,174
82,27,24
111,32,700
75,40,149
86,36,141
75,40,29
119,39,1374
110,32,745
75,39,129
90,38,194
119,39,1354
89,38,152
90,38,175
110,32,803
110,32,791
75,40,60
110,32,766
110,32,703
119,34,8
119,39,1380
75,40,119
111,32,760
119,39,1412
90,38,166
119,39,1350
82,27,48
119,39,1371
